N,scor_ijk,scor_jik,scor_kij,scor_kji,scor_ikj,scor_jki,scor_block,timp_ijk,timp_jik,timp_kij,timp_kji,timp_ikj,timp_jki,timp_block,block_size
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.326262,1.971682,1.362230,1.940233,1.849967,1.323155,2.114527,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.379373,1.970568,1.333177,1.943865,1.856410,1.260273,1.965301,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.400954,1.934336,1.314365,1.919433,1.822611,1.306830,2.041654,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.337878,2.015285,1.368506,2.030295,1.811479,1.303529,2.109666,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.342853,2.013664,1.370726,2.024422,1.814628,1.317698,2.123148,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.352102,1.987408,1.377965,2.004997,1.829087,1.326020,2.128395,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.353446,1.994685,1.372992,1.992816,1.832081,1.327259,2.121900,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.346044,1.972264,1.374876,1.989157,1.853104,1.318401,2.118841,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.356613,1.953005,1.380551,1.972455,1.841063,1.331228,2.139829,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.367749,1.953126,1.383638,1.965871,1.842117,1.327408,2.136764,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.370111,1.932582,1.387121,1.978817,1.844725,1.324574,2.101337,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.390822,1.920731,1.378470,1.945829,1.840917,1.320278,2.037740,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.395039,1.932543,1.333837,1.942338,1.847573,1.331541,2.031070,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.313495,1.872663,1.325908,2.042576,1.824509,1.382786,2.128741,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.298719,1.882605,1.346691,2.002356,1.895164,1.330426,2.139702,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.326059,1.992441,1.392773,2.047601,1.939080,1.275381,2.088671,128
512,137438690305,137705554945,137438690305,137705554945,137705554945,137438690305,1347583783,1.408434,2.031798,1.338967,2.007527,1.926763,1.372087,2.193771,128
