N,scor_ijk,scor_jik,scor_kij,scor_kji,scor_ikj,scor_jki,scor_block,timp_ijk,timp_jik,timp_kij,timp_kji,timp_ikj,timp_jki,timp_block,block_size
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.111698,1.155962,1.253761,2.067154,1.894387,2.057182,2.899100,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.183383,1.158566,1.258104,2.133000,1.850202,1.943710,2.753820,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.214196,1.143149,1.218164,2.040478,1.772849,2.065546,2.786309,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.236114,1.196903,1.246985,2.045621,1.812670,2.517776,3.247410,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.175700,1.217790,1.285195,2.098433,1.830032,1.994766,2.806475,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.222287,1.285105,1.294678,2.127817,1.824913,1.946077,2.776882,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.237721,1.156312,1.279675,2.107830,1.837604,2.013525,2.843869,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.225917,1.159620,1.275513,2.123955,1.829996,2.068147,2.892762,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.231371,1.294141,1.271932,2.055257,1.842025,2.061797,2.772215,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.156006,1.372313,1.257086,2.029015,1.816733,2.001669,2.822137,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.249800,1.189518,1.215937,1.989708,1.782232,2.110111,2.842327,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.151790,1.319094,1.296681,2.228058,1.854269,2.140026,2.877373,128
512,536084479,803471361,137706077187,274608160771,137438168063,274340773889,1347583783,1.186997,1.224278,1.293973,2.132512,1.775206,1.940750,2.653242,128
