N,scor_ijk,scor_jik,scor_kij,scor_kji,scor_ikj,scor_jki,scor_block,timp_ijk,timp_jik,timp_kij,timp_kji,timp_ikj,timp_jki,timp_block,block_size
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.759384,1.888962,1.219540,1.808043,1.282205,1.287016,1.979269,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.789329,1.824504,1.216350,1.814964,1.214382,1.337281,2.062422,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.826599,1.769514,1.129488,1.805099,1.183742,1.323906,2.029873,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.692893,1.791780,1.207839,1.884810,1.224704,1.277215,2.070369,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.867146,1.860522,1.224548,1.812363,1.381867,1.256534,1.971328,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.775072,1.814047,1.104883,1.894522,1.156998,1.297824,1.974380,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.806412,1.746624,1.227329,1.880119,1.286898,1.305094,2.115158,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.770304,1.899649,1.253862,1.893720,1.370795,1.402458,2.144326,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.803503,1.915710,1.251058,1.874629,1.212090,1.337515,2.067307,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.916826,1.890777,1.144747,1.866416,1.355919,1.334934,2.029712,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.846589,1.915052,1.138467,1.791373,1.282598,1.289874,1.954935,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,2.003060,1.902736,1.114333,1.789613,1.411287,1.338501,2.073145,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.882981,1.873174,1.112054,1.802130,1.209784,1.330645,2.028622,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.930581,2.001782,1.216561,1.842916,1.330273,1.298495,1.986384,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.867387,1.903708,1.185797,1.751698,1.341753,1.294291,2.079180,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.885560,1.845146,1.123447,1.791447,1.321528,1.303787,2.121798,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.866811,1.830833,1.160845,1.857587,1.424035,1.325054,2.133166,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.899858,1.917854,1.167472,1.855580,1.304154,1.314017,2.037670,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.770762,1.777568,1.231424,1.770800,1.191249,1.257061,2.081034,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.791109,1.783522,1.266783,1.778770,1.207103,1.275646,2.055857,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.791034,1.804615,1.226083,1.764079,1.346404,1.258255,2.009751,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.755057,1.810078,1.085138,1.752529,1.352823,1.280096,1.942503,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.734538,1.785383,1.116736,1.785698,1.284470,1.329567,2.003708,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.765537,1.779970,1.118887,1.795607,1.320004,1.299727,1.967585,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.769324,1.801751,1.112585,1.777968,1.301290,1.315065,2.020513,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.761956,1.794894,1.104565,1.745024,1.379063,1.266116,2.058666,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.762116,1.784433,1.092431,1.753992,1.355318,1.283527,1.998754,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.754975,1.787501,1.091465,1.731183,1.390106,1.301158,2.093137,128
512,274340773889,274608160771,536084479,137438168063,803471361,137706077187,1347583783,1.859006,1.754415,1.168964,1.739289,1.336043,1.321503,2.145030,128
